Date,Team,Relinquished,Notes,season,player_name,team_abbreviation,age,player_height,player_weight,gp,usg_pct,season-1
2011-02-11,Jazz,Ronnie Price,sprained right big toe (DNP),2010-11,Ronnie Price,UTA,28,187.96,84.821704,59,0.184,2010-11
2011-02-11,Magic,Brandon Bass,sprained left ankle (DNP),2010-11,Brandon Bass,ORL,26,203.2,113.398,76,0.202,2010-11
2011-02-11,Mavericks,Dominique Jones,surgery on right foot to repair stress fracture in fifth metatarsal (out indefinitely),2010-11,Dominique Jones,DAL,22,195.58,97.52228,18,0.222,2010-11
2011-02-11,Pistons,Richard Hamilton,sore groin (DNP),2010-11,Richard Hamilton,DET,33,200.66,87.543256,55,0.26,2010-11
2011-02-11,Raptors,Alex Ajinca,sore left foot (DNP),2010-11,,,,,,0,0,
2011-02-11,Raptors,Amir Johnson,placed on IL with sprained right ankle,2010-11,Amir Johnson,TOR,24,205.74,95.25432,72,0.154,2010-11
2011-02-11,Spurs,Tiago Splitter,strained left hamstring (DNP),2010-11,Tiago Splitter,SAS,26,210.82,108.86208,60,0.18,2010-11
2011-02-11,Timberwolves,Darko Milicic,strained left hip flexor (DNP),2010-11,Darko Milicic,MIN,26,213.36,124.7378,69,0.199,2010-11
2011-02-11,Timberwolves,Michael Beasley,sprained left ankle (DNP),2010-11,Michael Beasley,MIN,22,208.28,106.59412,73,0.284,2010-11
2011-02-11,Bucks,Larry Sanders,back spasms (DNP),2010-11,Larry Sanders,MIL,22,210.82,106.59412,60,0.176,2010-11
2011-02-12,Hornets,Derrick Brown,placed on IL,2010-11,Derrick Brown,NYK,23,203.2,99.79024,49,0.153,2010-11
2011-02-12,Cavaliers,Anderson Varejao,surgery on right ankle to repair torn tendon (date approximate),2010-11,Anderson Varejao,CLE,28,210.82,117.93392,31,0.135,2010-11
2011-02-12,Hawks,Jordan Crawford,placed on IL,2010-11,Jordan Crawford,WAS,22,193.04,88.45044,42,0.264,2010-11
2011-02-12,Knicks,Amar'e Stoudemire,placed on IL with sprained right big toe,2010-11,Amar'e Stoudemire,NYK,28,208.28,108.86208,78,0.309,2010-11
2011-02-12,Pacers,T.J. Ford,placed on IL,2010-11,T.J. Ford,IND,28,182.88,74.84268,41,0.186,2010-11
2011-02-12,Rockets,Jared Jeffries,placed on IL,2010-11,Jared Jeffries,NYK,29,210.82,108.86208,42,0.09,2010-11
2011-02-12,Spurs,Tiago Splitter,strained left hamstring (DNP),2010-11,Tiago Splitter,SAS,26,210.82,108.86208,60,0.18,2010-11
